GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
delivery-service,com.quickbite.delivery.exception,GlobalExceptionHandler,84,45,1,1,16,7,4,2,3,2
delivery-service,com.quickbite.delivery.service.impl,DeliveryServiceImpl,229,232,8,10,64,73,17,12,9,11
delivery-service,com.quickbite.delivery.dto,DeliveryAssignmentResponse,0,18,0,0,0,1,0,1,0,1
delivery-service,com.quickbite.delivery.dto,DeliveryAgentRegistrationRequest,0,15,0,0,0,1,0,1,0,1
delivery-service,com.quickbite.delivery.dto,AgentEarningsResponse,0,12,0,0,0,1,0,1,0,1
delivery-service,com.quickbite.delivery.dto,DeliveryAgentResponse,0,30,0,0,0,1,0,1,0,1
delivery-service,com.quickbite.delivery.dto,DeliveryAssignmentRequest,0,12,0,0,0,1,0,1,0,1
delivery-service,com.quickbite.delivery.dto,DeliveryAgentAvailabilityRequest,6,0,0,0,1,0,1,0,1,0
delivery-service,com.quickbite.delivery.dto,AgentAssignedOrderResponse,0,27,0,0,0,1,0,1,0,1
delivery-service,com.quickbite.delivery.service,OrderEventConsumer,5,35,0,2,1,12,0,4,0,3
delivery-service,com.quickbite.delivery.repository,DeliveryAgentRepository,124,459,35,31,25,98,32,25,3,21
delivery-service,com.quickbite.delivery.dto.event,OrderEvent,0,33,0,0,0,1,0,1,0,1
delivery-service,com.quickbite.delivery.dto.internal,DeliveryStatusUpdateRequest,6,0,0,0,1,0,1,0,1,0
delivery-service,com.quickbite.delivery.dto.internal,DeliveryAssignmentUpdateRequest,12,0,0,0,1,0,1,0,1,0
delivery-service,com.quickbite.delivery.model,AgentOrderAssignment,0,56,0,0,0,3,0,3,0,3
delivery-service,com.quickbite.delivery.model,DeliveryAgent,0,137,0,0,0,5,0,5,0,5
delivery-service,com.quickbite.delivery,DeliveryServiceApplication,5,3,0,0,2,1,1,1,1,1
delivery-service,com.quickbite.delivery.config,KafkaConfig,0,70,0,0,0,14,0,3,0,3
delivery-service,com.quickbite.delivery.controller,DeliveryController,286,113,7,7,34,19,14,8,9,6
