GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
menu-service,com.quickbite.menu.repository,MenuRepository,291,0,0,0,29,0,3,0,3,0
menu-service,com.quickbite.menu.repository,MenuItemRepository,0,4,0,0,0,1,0,1,0,1
menu-service,com.quickbite.menu.exception,GlobalExceptionHandler,185,77,4,0,32,15,7,3,5,3
menu-service,com.quickbite.menu.dto,MenuItemWithAvailabilityResponse,0,39,0,0,0,1,0,1,0,1
menu-service,com.quickbite.menu.dto,CreateMenuItemRequest,0,30,0,0,0,1,0,1,0,1
menu-service,com.quickbite.menu.dto,MenuGroupResponse,0,9,0,0,0,1,0,1,0,1
menu-service,com.quickbite.menu.dto,MenuItemResponse,0,30,0,0,0,1,0,1,0,1
menu-service,com.quickbite.menu,MenuServiceApplication,5,3,0,0,2,1,1,1,1,1
menu-service,com.quickbite.menu.config,CloudinaryConfig,63,0,12,0,5,0,8,0,2,0
menu-service,com.quickbite.menu.config,SecurityConfig,46,0,0,0,9,0,5,0,5,0
menu-service,com.quickbite.menu.model,MenuItem,30,0,0,0,1,0,1,0,1,0
menu-service,com.quickbite.menu.model,MenuItemEntity,57,102,0,0,16,46,8,24,8,24
menu-service,com.quickbite.menu.controller,MenuController,0,19,0,0,0,6,0,3,0,3
menu-service,com.quickbite.menu.controller,MenuOwnerController,89,128,11,5,12,18,11,5,3,5
menu-service,com.quickbite.menu.service.impl,CloudinaryImageServiceImpl,660,0,92,0,94,0,57,0,11,0
menu-service,com.quickbite.menu.service.impl,MenuOwnerServiceImpl,384,322,47,27,63,60,41,9,5,8
menu-service,com.quickbite.menu.service.impl,MenuServiceImpl,225,0,28,0,63,0,24,0,8,0
