GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
restaurant-service,com.quickbite.restaurant.model,Category,0,12,0,0,0,1,0,1,0,1
restaurant-service,com.quickbite.restaurant.model,RestaurantOwner,33,0,0,0,1,0,1,0,1,0
restaurant-service,com.quickbite.restaurant.model,RestaurantOwnerEntity,33,0,0,0,16,0,1,0,1,0
restaurant-service,com.quickbite.restaurant.model,Restaurant,0,36,0,0,0,1,0,1,0,1
restaurant-service,com.quickbite.restaurant.exception,GlobalExceptionHandler,226,69,4,0,40,13,9,3,7,3
restaurant-service,com.quickbite.restaurant.controller,AdminRestaurantController,0,55,0,2,0,18,0,7,0,6
restaurant-service,com.quickbite.restaurant.controller,RestaurantOwnerController,96,233,26,30,22,55,25,14,2,9
restaurant-service,com.quickbite.restaurant.controller,AdminOwnerController,0,26,0,2,0,8,0,4,0,3
restaurant-service,com.quickbite.restaurant.controller,RestaurantController,5,32,0,0,1,9,0,5,0,5
restaurant-service,com.quickbite.restaurant,RestaurantServiceApplication,5,3,0,0,2,1,1,1,1,1
restaurant-service,com.quickbite.restaurant.service.impl,RestaurantServiceImpl,64,338,27,25,8,79,25,20,2,17
restaurant-service,com.quickbite.restaurant.service.impl,RestaurantOwnerServiceImpl,36,260,10,12,0,72,12,8,2,7
restaurant-service,com.quickbite.restaurant.service.impl,CloudinaryImageServiceImpl,634,0,96,0,90,0,59,0,11,0
restaurant-service,com.quickbite.restaurant.repository,RestaurantOwnerRepository,0,4,0,0,0,1,0,1,0,1
restaurant-service,com.quickbite.restaurant.repository,RestaurantRepository,411,22,28,0,64,3,29,1,15,1
restaurant-service,com.quickbite.restaurant.config,SecurityConfig,114,0,0,0,23,0,7,0,7,0
restaurant-service,com.quickbite.restaurant.config,CloudinaryConfig,63,0,12,0,5,0,8,0,2,0
restaurant-service,com.quickbite.restaurant.dto,CategoryResponse,0,12,0,0,0,1,0,1,0,1
restaurant-service,com.quickbite.restaurant.dto,RestaurantOwnerProfileResponse,0,33,0,0,0,1,0,1,0,1
restaurant-service,com.quickbite.restaurant.dto,AdminRestaurantOwnerResponse,0,33,0,0,0,2,0,2,0,2
restaurant-service,com.quickbite.restaurant.dto,RegisterRestaurantRequest,12,0,0,0,1,0,1,0,1,0
restaurant-service,com.quickbite.restaurant.dto,RestaurantResponse,0,36,0,0,0,1,0,1,0,1
restaurant-service,com.quickbite.restaurant.security,JwtService,103,4,4,0,39,1,8,1,6,1
restaurant-service,com.quickbite.restaurant.security,JwtAuthenticationFilter,115,0,14,0,33,0,9,0,2,0
restaurant-service,com.quickbite.restaurant.security,CustomUserDetailsService,88,0,4,0,29,0,7,0,5,0
